sample,studyversion,method,stratification,coefficient,CI_lower,CI_upper
kids,hedge,first-second,none,0.864916525557911,0.773138916759104,0.944184284410379
kids,hedge,first-second,target position,0.788198880409238,0.631479980680936,0.922025687036709
kids,hedge,odd-even,none,0.859483952326268,0.727940199170084,0.908008389714875
kids,hedge,odd-even,target position,0.802416506586165,0.4997861607306,0.924912012538402
kids,hedge,permutated,none,0.724374832226971,0.548759414679012,0.870308904093088
kids,hedge,permutated,target position,0.609167940112068,0.292539564069763,0.823318040771309
kids,hedge,Monte Carlo,none,0.745979387599147,0.54602785679057,0.903788528583166
kids,hedge,Monte Carlo,target position,0.916029460764972,0.842885356713804,0.967332524315721
adults,hedge,first-second,none,0.675254852003638,0.514232709023061,0.788513089264515
adults,hedge,first-second,target position,0.645807136876207,0.510984799445111,0.775550117494902
adults,hedge,odd-even,none,0.768606633111072,0.581640473544766,0.862624362456022
adults,hedge,odd-even,target position,0.802405564467743,0.68159712528312,0.882634652380792
adults,hedge,permutated,none,0.633433740297556,0.500038447274251,0.770807485920355
adults,hedge,permutated,target position,0.774017508307297,0.653972098255672,0.867335905894429
adults,hedge,Monte Carlo,none,0.755451594383006,0.625203288476774,0.838000324273181
adults,hedge,Monte Carlo,target position,0.702266218898187,0.484756460711243,0.814090831441772
kids,box,first-second,none,0.398544045589199,0.0983462018351833,0.585818153118211
kids,box,first-second,target position,0.588793837516291,0.388098335444457,0.724686813467818
kids,box,odd-even,none,0.548323126975076,0.356124346588821,0.685273228786259
kids,box,odd-even,target position,0.674249793113165,0.471286747706227,0.793827108691038
kids,box,permutated,none,0.498322835576076,0.245584272402164,0.663297719575
kids,box,permutated,target position,0.614290517401811,0.395491940816743,0.732641729241732
kids,box,Monte Carlo,none,0.666001064321604,0.462774305251641,0.818937067613763
kids,box,Monte Carlo,target position,0.874348734533603,0.777492594314092,0.928004729260629
adults,box,first-second,none,0.668594563045041,0.510439255045739,0.785251191138693
adults,box,first-second,target position,0.625972682316115,0.474729933507782,0.743135552595518
adults,box,odd-even,none,0.75974428115725,0.646099982989705,0.84153847960443
adults,box,odd-even,target position,0.544330805430459,0.270163766824254,0.718634750672407
adults,box,permutated,none,0.621585604378348,0.474165481206651,0.73967884608705
adults,box,permutated,target position,0.472944428462791,0.251004482759208,0.65224542035721
adults,box,Monte Carlo,none,0.652952804398401,0.477789903846469,0.768151458180726
adults,box,Monte Carlo,target position,0.682915877894906,0.498554048507727,0.795768067383872
